customer_id,full_name,email,phone,address,city,state,pincode,created_at
C001,Amit Kumar,amit@example.com,9876543210,A-23 Street,Mumbai,MH,401101,2023-05-10
C002,Sara Smith,sara@gmail.com,9988776655,C-90 Lane,Delhi,DL,110011,2023-08-21
C003,Rahul Sharma,rahul@abc.com, ,11th Road,Pune,MH,411001,2023/06/12
C004,Sunita, sunita@xyz.com,8877665544, ,Delhi,DL,1100A1,2023-06-15
C005,Ayesha Khan,ayesha@gmail.com,9090909090,22C Third St,Bengaluru,KA,560001,15-06-2023
C006,Prakash ,prakash@mail.com,9988221100,Block 4 Street,Hyderabad,TS,500082,2023-07-01
C007,Kajol,kajol88@yahoo.com,,77 Market Road,Chennai,TN,600001,2023-07-02
C008,Liam,,liam@mail.com,4A Road,Kolkata,WB,700011,2023-07-03
C009,Ravi  Verma,ravi@verma.com, ,221 Colony,Mumbay,MH,400001,2023-07-05
C010,Karan Singh,karan@mail.com, 9988001122,West Wing Road,New Delhi,DL,110003,2023/07/07
C011,Heena,heena@gmail,9099221100,New Colony,Hyderabad,TS,500001,2023-07-08
C012,Manas,manas@outlook.com, 9080706050,55 Road,Pune,MH,411002,2023/06/01
C013,James,james@yahoo.com,7788990011,Sec 5,Delhi,DL,110022,2023-06-08
C013,James Smith,james@yahoo.com,,Sec 5,Delhi,DL,110022,2023-06-08
C014,Nina,nina@example.com,9988776655,8 Street,Kolkatta,WB,700019,2023-06-11
C015,Arjun ,arjun@mail.com,8877553311,100 MG Road,Mumbai,MH,400002,2023-06-12
C016,Tanya,tanya@mail.com,,2 Road,Bengluru,KA,56000A,2023-06-14
C017,Ali,ali@gmail.com,9898989898,4 Lane,Pune,MH,411003,2023-06-15
C018,Sneha,sneha@mail,,11th Street,Chennai,TN,600002,2023-05-30
C019,Isha,isha@gmail.com,7788123490,77 Block,Delhi,DL,110021,2023-06-20
C020,Omar,omar@mail.com, ,Bengaluru,KA,560002,2023-06-22
C021,Lucas,lucas@mail.com,9090909099,Phase 3,Chandigarh,CH,160001,2023-06-23
C022,Lara,lara@gmail.com,9988771122,19 Street,Hyderbad,TS,5000A2,2023-06-24
C023,Rishi,rishi@hotmail.com, 7766554400,East Road,Pune,MH,411004,2023-06-25
C024,Maya ,maya@mail.com,8877665544,Block 7,Kolkatta,WB,700020,2023/06/26
C025,Yatin,yatin@mail.com,9988442211,88 Green Road,Mumbai,MH,400003,2023-06-27
C026,Reena ,reena@gmail.com,,33 West,Ranchi,JH,834001,2023-06-28
C026,Reena V,reena@gmail.com,9099887766,33 West,Ranchi,JH,834001,2023-06-29
C027,Ajay,ajay@mail.com, ,Market Lane,Chennai,TN,600003,2023-06-30
C028,Sarthak,sarthak@yahoo.com, 7788001122,,Delhi,DL,110014,2023/07/01
C029,Neel,neel@mail.com,9988776600,33 Street,Pune,MH,411005,2023-07-02
C030,Farhan,farhan@mail.com,7766550099,KK Street,Kochi,KL,682001,2023-07-03
C031,Harry,harry@mail.com,,221 Hills,Ranchi,JH,834002,2023/07/04
C032,Anita,anita@abc.com,9988772211,Center Street,Indore,MP,452001,2023/07/05
C033,Rahim,rahim@mail.com, 9090902200,Main Rd,Delhi,DL,110015,2023-07-06
C034,Kim,kim@outlook.com,9988770000,Sec 7,Pune,MH,411006,2023-07-07
C035,Aryan,aryan@gmail, ,Near Mall,Hyderabad,TS,500003,2023-07-07
C036,Meera,meera@mail.com,9988776655,Block A,Kolkata,WB,700021,2023/07/08
C037,John,john@yahoo.com, ,45C Road,Chennai,TN,600004,2023-07-09
C038,Mona,mona@gmail.com,8877665522,South Road,Bhopal,MP,462001,2023-07-09
C039,Deepak,deepak@xyz.com,9568872211,Main Street,Jaipur,RJ,302001,2023-07-09
C040,Harsh,harsh@mail.com, ,25 Road,Agra,UP,282001,2023-07-10
C041,Rita,rita@mail.com,9099221133,ZZ Lane,Patna,BR,800001,2023-07-11
C042,Jay,jay@mail.com,9988774433,Park Road,Surat,GJ,395003,2023/07/11
C043,Vivan,vivan@mail.com, ,Green Road,Delhi,DL,110016,2023-07-12
C044,Zara,zara@mail.com,7711223344,SS Lane,Pune,MH,411007,2023-07-13
C045,Charlie,charlie@mail.com,8877661100,MM Road,Mumbai,MH,400004,2023/07/13
C046,Palak,palak@yahoo.com, 9090903322,RR Road,Bangalore,KA,560003,2023-07-14
C047,Sam,sam@hotmail,,North Lane,Kochi,KL,682002,2023-07-14
C048,Anmol,anmol@gmail.com,8899776655,NH Street,Indore,MP,452002,2023-07-15
C049,Naira,naira@mail.com,,DR Road,Noida,UP,201301,2023-07-16
C050,Vishal,vishal@outlook.com,8877664422,Road 7,Lucknow,UP,226001,2023-07-16
C051,Mike,mike@gmail.com, ,Alpha Road,Delhi,DL,110017,2023/07/17
C052,Krish,krish@mail.com,9911223344,22 Park,Kolkatta,WB,700022,2023-07-18
C053,Joy,joy@yahoo.com,8899556677,RW Street,Pune,MH,411008,2023-07-18
C054,Aarav,aarav@mail.com, ,TT Road,Mumbai,MH,400005,2023-07-18
C055,Rey,rey@mail.com,9000998877,NN Street,Delhi,DL,110018,2023-07-19
C056,Priya,priya@gmail.com, ,Block 6,Chennai,TN,600005,2023-07-19
C057,Nakul,nakul@mail.com,8877669922,MM Lane,Bhopal,MP,462002,2023/07/20
C058,Oliver,oliver@hotmail.com, ,Hyderabad,TS,500004,2023-07-20
C059,Mansi,mansi@mail.com,9911228899,Block 88,Pune,MH,411009,2023-07-21
C060,Zed,zed@mail.com, ,22 Road,Kochi,KL,682003,2023-07-21
C061,Simran,simran@mail.com,8899774411,Main St,Mumbai,MH,400006,2023-07-22
C062,Kabir,kabir@gmail.com,9988776655,NS Road,Delhi,DL,110019,2023-07-22
C063,Steve,steve@mail.com,7766553322,West Block,Bengaluru,KA,560004,2023/07/23
C064,Aastha,aastha@mail.com, ,Sector 8,Chandigarh,CH,160002,2023-07-23
C065,Mehul,mehul@yahoo.com, ,RR Nagar,Pune,MH,411010,2023/07/24
C066,Ronaldo,ronaldo@mail.com,9988772233,South Road,Jaipur,RJ,302002,2023-07-24
C067,Trisha,trisha@gmail.com,,33C Lane,Kolkata,WB,700023,2023/07/25
C068,Viraj,viraj@mail.com,8899001122,CC Road,Indore,MP,452003,2023-07-25
C069,Bella,bella@mail.com, ,88 St,Chennai,TN,600006,2023-07-26
C070,Chris,chris@gmail.com,9988773311,MG Road,Bengaluru,KA,560005,2023-07-27
