order_id,order_date,cust_id,cust_name,cust_email,prod_id,prod_name,category,qty,price,payment_method,address,city,state,shipped_date,carrier,tracking_id
1001,2024-01-10,C001,Amit Kumar,amit@example.com,P101,iPhone 14,Mobile,1,79999,UPI,A-23 Street,Mumbai,MH,2024-01-11,BlueDart,BD123
1001,10-01-2024,C001,Amit Kumar,amit@example.com ,P201,Apple Case,Accessories,1,1999,UPI,A-23 Street,Mumbay,MH,2024/01/11,BlueDart,BD123
1002,2024-01-11,C002,Sara Smith   ,sara@gmail.com,P301,Samsung TV,Electronics,1,55999,Card,C-90 Lane,Delhi,DL,2024-01-12,Delhivery,DL441
1003,2024/01/11,C003,Rahul,rahul@abc.com,P401,Boat Earbuds,Audio,2,2499,COD,,Pune,MH,2024-01-13,Blue Dart,BD991
1003,2024-1-11,C003,Rahul ,rahul@abc.com,P402,Charger ,Mobile,1, 999,COD, ,Pune,MH,13-01-2024,Blue Dart,BD991
1004,2024-01-12,C004,Sunita,sunita@xyz.com,P501,HP Laptop,Computers,1,45999,UPI,12 Mall Road,Delhi,DL,2024-01-13,Ecom,EC112
1005,2024-01-12,C005,Ayesha,ayesha@gmail.com,P601,Lenovo Mouse,Accessories,3,599,Card,22C Third St,Bengaluru,KA,2024-01-14,Delhivery,DL992
1005,2024-01-12,C005,Ayesha ,ayesha123@gmail.com,P602,USB Cable,Accessories,1,199,CARD,22C Third St,Bangalore,KA,2024-14-01,Delhivery,DL992
1006,2024-01-13,C006,Prakash,prakash@mail.com,P701,Sony PS5,Gaming,1,49999,UPI,Block 4 Street,Hyderabad,TS,2024-01-14,Ecomm Express,E12244
1007,2024-01-13,C007,Kajol,kajol88@yahoo.com,P801,Oppo F21,Mobile,1,22999,COD,77 Market Road,Chennai,TN,2024-01-15,BlueDart,
1008,13-01-2024,C008,Liam liam,,liam@mail.com,P901,Canon Camera,Electronics,1,38999,UPI,4A Road,Kolkata,WB,2024-01-16,Delhivery,DL221
1009,2024-01-14,C009,Ravi Verma,ravi@verma.com,P111,Realme 9,Mobile,2,14999,COD,221 Colony,Mumbai,MH,2024-01-17,Blue Dart,BD555
1009,2024-01-14,C009,Ravi V,ravi+spam@verma.com,P222,Tripod,Accessories,1,899,COD,221 Colony,Mumbai,MH,2024-17-01,Blue Dart,BD555
1010,2024-01-15,C010,Karan Singh,karan@mail.com,P333,LG Monitor,Display,1,11999,CARD,West Wing Road,Delhi,DL,2024-01-17,Ecom Express,EC444
1011,2024-01-15,C011,Heena,heena@gmail,P444,OnePlus Nord,Mobile,1,28999,UPI,New Colony,Hyd,TS,2024-01-18,Delhivery,DL777
1012,15/01/2024,C012,Manas,manas@outlook.com,P555,Bluetooth Speaker,Audio,1,2499,UPI,55 Road,Pune,MH,2024/01/19,BlueDart,BD789
1013,2024-01-16,C013,James,james@yahoo.com,P666,Macbook Air,Computers,1,109999,CARD,Sec 5,Delhi,DL,2024-01-20,Ecom,EC899
1013,2024-01-16,C013,James Smith,james@yahoo.com,P667,Apple Pencil,Accessories,1,8999,Card,Sec 5,New Delhi,DL,2024-20-01,Ecom,EC899
1014,2024-01-16,C014,Nina,nina@example.com,P777,Google Pixel,Mobile,1,62999,UPI,8 Street,Kolkatta,WB,2024-01-21,Delhivery,null
1015,2024-01-17,C015,Arjun ,arjun@mail.com,P888,Asus Laptop,Computers,1,67999,COD,100 MG Road,Mumbai,MH,2024-01-22,Blue Dart,BD888
1016,2024-01-17,C016,Tanya,tanya@mail.com,P999,Apple Watch,Wearable,1,32999,UPI,2 Road,Bengluru,KA,2024-01-22,Delhivery,DL999
1017,17/01/2024,C017,Ali,ali@gmail.com,P121,Sandisk SSD,Storage,2,3999,UPI,4 Lane,Pune,MH,2024-01-23,Ecom,EC122
1018,2024/01/17,C018,Sneha,sneha@mail,P131,Samsung Tab,Electronics,1,28999,Card,11th Street,Chennai,TN,23-01-2024,Delhivery,DL222
